74,37,72,71
73,15,30,22
89
39,76,44
62,52,86,27
14,31,82,88
39,68
94,24,78,47
44,30,79,27
19,14,17,48
70,95,89
45,74,70,26
51,52,60,34
72,72,57,97
46,54,32
47,31,93,13
47,59,81,82
97,10,93,26
84
22,57,59,46
65,30,28,99
72,25,94,37
52
54,95,70,96
90,34,19,50
14,30,46
87,58,52,19
93,70,58,13
87,31,68,31
38,86
61,85,39,64
77,75,51,81
53,58,16,27
67,53,37,15
88,93
88,82,18,30
59,44,67,11
72,18,23,64
17,58,65,54
35,15,38,34
36,83,62,18
20,13,69,89
72,29,26,70
14,98,44,71
92,17,75,98
68,77,39,96
15,96,26,99
54,29,85,23
73,14,86,39
25,83,77,46
21,51,18,46
59,44,70,51
21,36,86,79
35,27,60,99
43,12,99,63
72,89,10,29
32,31,68,24
46,53,82,34
57,89,71,68
81,69,97,21
37,10,11,26
78,44,93,11
86,91,10,45
48,59,43,82
47,59,55,29
14,17,10,78
77,16,46,49
19,94,15,78
27,12,44,64
67,67,18,76
20,25,59,54
97,44,47,62
93,98,60,76
14,96,54,21
69,35,66,13
37,45,25,39
76,18,89,69
25,78,58,18
44,52,36,12
22,53,23,29
92,18,77,32
65,20,36,92
41,41,33,96
50,29,88,13
75,30,77,19
53,69,84,20
75,68,78,36
50,10,83,87
99,47,80,84
76,17,89,99
78,52,27,31
18,38,33,44
31,94,63,76
36,48,29,24
32,17,12,44
76,44,57,13
50,69,24,95
14,87,24,43
26,62,10,17
47,64,52,85
